OBJECTID,id,x,y
314,314,-1.498973913738180,51.202621198238099
315,315,-1.355832226740980,51.201920772647902
316,316,-1.212697006516160,51.201045271578799
317,317,-1.069569689290940,51.199994715639797
318,318,-0.926451710792763,51.198769129557803
319,319,-0.783344506158622,51.197368542176399
320,320,-0.640249509844462,51.195792986452901
321,321,-0.497168155534718,51.194042499456003
322,322,-0.354101876051953,51.192117122363200
323,323,-0.211052103266655,51.190016900456797
324,324,-0.068020268007170,51.187741883121298
325,325,0.074992200030191,51.185292123838600
326,326,0.217983872370856,51.182667680184402
327,327,0.360953321851514,51.179868613823402
328,328,0.503899122709412,51.176894990504501
329,329,0.646819850671436,51.173746880055802
330,330,0.789714083042945,51.170424356378597
331,331,0.932580398796354,51.166927497442103
332,332,1.075417378659450,51.163256385277002
333,333,1.218223605203400,51.159411105968999
334,334,1.360997662930530,51.155391749652097
337,337,-2.932246474273030,51.289911816296801
338,338,-2.788839855083670,51.290965733423000
339,339,-2.645425278995960,51.291844035719500
340,340,-2.502004192028970,51.292546702447602
341,341,-2.358578040615540,51.293073717014302
342,342,-2.215148271510410,51.293425066973697
343,343,-2.071716331698250,51.293600744027898
344,344,-1.928283668301750,51.293600744027898
345,345,-1.784851728489590,51.293425066973697
346,346,-1.641421959384460,51.293073717014302
347,347,-1.497995807971030,51.292546702447602
348,348,-1.354574721004040,51.291844035719500
349,349,-1.211160144916330,51.290965733423000
350,350,-1.067753525726970,51.289911816296801
351,351,-0.924356308949442,51.288682309224100
352,352,-0.780969939499922,51.287277241229901
353,353,-0.637595861605625,51.285696645479398
354,354,-0.494235518713295,51.283940559274797
355,355,-0.350890353397798,51.282009024053004
356,356,-0.207561807270869,51.279902085381700
357,357,-0.064251320890006,51.277619792956102
358,358,0.079039666332461,51.275162200594998
359,359,0.222309716220120,51.272529366236498
360,360,0.365557391923020,51.269721351933299
361,361,0.508781258008011,51.266738223848101
362,362,0.651979880548838,51.263580052247796
