id,x,y
457,282.5,20.5
458,287.5,20.5
459,292.5,20.5
460,297.5,20.5
461,302.5,20.5
462,307.5,20.5
463,312.5,20.5
464,317.5,20.5
465,322.5,20.5
466,327.5,20.5
467,332.5,20.5
468,337.5,20.5
469,342.5,20.5
470,347.5,20.5
471,352.5,20.5
472,357.5,20.5
473,362.5,20.5
474,367.5,20.5
475,372.5,20.5
476,377.5,20.5
477,382.5,20.5
478,387.5,20.5
479,392.5,20.5
480,397.5,20.5
481,402.5,20.5
482,407.5,20.5
483,412.5,20.5
484,417.5,20.5
485,422.5,20.5
486,427.5,20.5
487,432.5,20.5
488,437.5,20.5
489,442.5,20.5
